arise|arose|arisen|возникать
rebroadcast|rebroadcast/rebroadcasted|rebroadcast/rebroadcasted|перетранслировать
rebuild|rebuilt|rebuilt|пересобрать
recast|recast|recast|to cast again
recut|recut|recut|to cut again
redeal|redealt|redealt|пересдавать (карты)
redo|redid|redone|to do over or again
redraw|redrew|redrawn|перерисовать
refit|refit/refitted|refit/refitted|переоборудовать
regrind|reground|reground|to grind (something) anew or again
regrow|regrew|regrown|to grow (something, such as a missing part) anew
rehang|rehung|rehung|to hang (something) again especially in a different way
rehear|reheard|reheard|to hear again or anew especially judicially
reknit|reknitted/reknit|reknitted/reknit|to knit (something) again
relay|relaid|relaid|ретранслировать
relearn|relearned/relearnt|relearned/relearnt|to learn (something) again
relight|relit/relighted|relit/relighted|to light (something) again
remake|remade|remade|to make anew or in a different form
repay|repaid|repaid|возвращать
reread|reread|reread|перечитать
rerun|reran|rerun|перезапустить
resell|resold|resold|перепродавать
resend|resent|resent|переотправить
reset|reset|reset|повторно установить
resew|resewed|resewn/resewed|to sew (something) again or anew
retake|retook|retaken|пересдать
reteach|retaught|retaught|to teach (someone or something) again
retell|retold|retold|пересказать
rethink|rethought|rethought|пересмотреть
retread|retread|retread|to make over as if new
retrofit|retrofitted/retrofit|retrofitted/retrofit|модифицировать
rewake|rewoke/rewaked|rewaken/rewaked|to waken again or anew
rewet|rewet/rewetted|rewet/rewetted|to make (something) wet or moist again
rewin|rewon|rewon|
rewind|rewound|rewound|
rewrite|rewrote|rewritten|
rid|rid|rid|
ride|rode|ridden|
ring|rang|rung|
rise|rose|risen|
roughcast|roughcast|roughcast|
run|ran|run|
sand-cast|sand-cast|sand-cast|
saw|sawed|sawed/sawn|
say|said|said|
see|saw|seen|
seek|sought|sought|
sell|sold|sold|
send|sent|sent|
set|set|set|
sew|sewed|sewn/sewed|
shake|shook|shaken|
shave|shaved|shaved/shaven|
shear|sheared|sheared/shorn|
shed|shed|shed|
shine|shined/shone|shined/shone|
shit|shit/shat/shitted|shit/shat/shitted|
shoot|shot|shot|
show|showed|shown/showed|
shrink|shrank/shrunk|shrunk|
shut|shut|shut|
sight-read|sight-read|sight-read|
sing|sang|sung|
sink|sank/sunk|sunk|
sit|sat|sat|
slay|slew/slayed|slain/slayed|
sleep|slept|slept|
slide|slid|slid|
sling|slung|slung|
slink|slinked/slunk|slinked/slunk|
slit|slit|slit|
smell|smelled/smelt|smelled/smelt|
sneak|sneaked/snuck|sneaked/snuck|
sow|sowed|sown/sowed|
speak|spoke|spoken|
speed|sped/speeded|sped/speeded|
spell|spelled/spelt|spelled/spelt|
spend|spent|spent|
spill|spilled/spilt|spilled/spilt|
spin|spun|spun|
spit|spit/spat|spit/spat|
split|split|split|
spoil|spoiled/spoilt|spoiled/spoilt|
spoon-feed|spoon-fed|spoon-fed|
spread|spread|spread|
spring|sprang/sprung|sprung|
stand|stood|stood|
steal|stole|stolen|
stick|stuck|stuck|
sting|stung|stung|
stink|stunk/stank|stunk|
strew|strewed|strewn/strewed|
stride|strode|stridden|
strike|struck|struck/stricken|
string|strung|strung|
strive|strove/strived|striven/strived|
sublet|sublet|sublet|
sunburn|sunburned/sunburnt|sunburned/sunburnt|
swear|swore|sworn|
sweat|sweat/sweated|sweat/sweated|
sweep|swept|swept|
swell|swelled|swollen/swelled|
swim|swam|swum|
swing|swung|swung|
take|took|taken|
teach|taught|taught|
tear|tore|torn|
telecast|telecast|telecast|
tell|told|told|
test-drive|test-drove|test-driven|
test-fly|test-flew|test-flown|
think|thought|thought|
throw|threw|thrown|
thrust|thrust|thrust|
tread|trod|trodden/trod|
typecast|typecast|typecast|
typeset|typeset|typeset|
typewrite|typewrote|typewritten|
unbend|unbent|unbent|
unbind|unbound|unbound|
unclothe|unclothed/unclad|unclothed/unclad|
underbid|underbid|underbid|
undercut|undercut|undercut|
underfeed|underfed|underfed|
undergo|underwent|undergone|
underlie|underlay|underlain|
undersell|undersold|undersold|
underspend|underspent|underspent|
understand|understood|understood|
undertake|undertook|undertaken|
underwrite|underwrote|underwritten|
undo|undid|undone|
unfreeze|unfroze|unfrozen|
unhang|unhung|unhung|
unhide|unhid|unhidden|
unknit|unknitted/unknit|unknitted/unknit|
unlearn|unlearned/unlearnt|unlearned/unlearnt|
unsew|unsewed|unsewn/unsewed|
unsling|unslung|unslung|
unspin|unspun|unspun|
unstick|unstuck|unstuck|
unstring|unstrung|unstrung|
unweave|unwove/unweaved|unwoven/unweaved|
unwind|unwound|unwound|
uphold|upheld|upheld|
upset|upset|upset|
wake|woke/waked|woken/waked|
waylay|waylaid|waylaid|
wear|wore|worn|
weave|wove/weaved|woven/weaved|
wed|wed/wedded|wed/wedded|
weep|wept|wept|
wet|wet/wetted|wet/wetted|
win|won|won|
wind|wound|wound|
withdraw|withdrew|withdrawn|
withhold|withheld|withheld|
withstand|withstood|withstood|
wring|wrung|wrung|
write|wrote|written|
